CLT->ABE->DTW	2008-04-24	605	0	2008-04-26	1945	0
DTW->ABE->CLT	2008-04-26	850	0	2008-04-28	1407	0
CLE->ABE->CVG	2008-04-27	600	0	2008-04-29	1615	0
DTW->ABE->CLT	2008-04-28	850	0	2008-04-30	1407	0
ATL->ABE->DTW	2008-04-30	605	0	2008-05-02	2000	0
CVG->ABE->ORD	2008-05-01	600	0	2008-05-03	2010	0
ATL->ABE->CVG	2008-05-02	600	0	2008-05-04	1251	0
ORD->ABE->CVG	2008-05-03	600	0	2008-05-05	1433	0
DTW->ABE->ATL	2008-05-04	630	0	2008-05-06	1406	0
CLE->ABE->CVG	2008-05-05	600	0	2008-05-07	1915	0
CVG->ABE->ATL	2008-05-06	630	0	2008-05-08	1505	0
ATL->ABE->CLT	2008-05-08	850	0	2008-05-10	1800	0
CVG->ABE->CLT	2008-05-10	850	0	2008-05-12	1505	0
CLE->ABE->CVG	2008-05-11	600	0	2008-05-13	1615	0
CVG->ABE->CLT	2008-05-12	850	0	2008-05-14	1505	0
CVG->ABE->ORD	2008-05-13	600	0	2008-05-15	2010	0
ORD->ABE->CVG	2008-05-15	600	0	2008-05-17	1433	0
ATL->ABE->DTW	2008-05-16	600	0	2008-05-18	2000	0
ORD->ABE->CLE	2008-05-17	645	0	2008-05-19	1433	0
DTW->ABE->CLT	2008-05-18	850	0	2008-05-20	1406	0
DTW->ABE->CLT	2008-05-20	850	0	2008-05-22	1406	0
ORD->ABE->CVG	2008-05-21	600	0	2008-05-23	1950	0
DTW->ABE->CLT	2008-05-22	850	0	2008-05-24	1406	0
ATL->ABE->CLT	2008-05-24	850	0	2008-05-26	1251	0
CLE->ABE->CVG	2008-05-25	600	0	2008-05-27	1915	0
ATL->ABE->CLT	2008-05-26	850	0	2008-05-28	1251	0
ORD->ABE->CVG	2008-05-27	600	0	2008-05-29	1950	0
DTW->ABE->ATL	2008-05-28	630	0	2008-05-30	2122	0
CVG->ABE->CLT	2008-05-30	850	0	2008-06-01	2010	0
CLE->ABE->CLT	2008-06-01	850	0	2008-06-03	1615	0
CVG->ABE->DTW	2008-06-02	600	0	2008-06-04	1505	0
CVG->ABE->CLT	2008-06-03	850	0	2008-06-05	2005	0
CVG->ABE->CLE	2008-06-05	645	0	2008-06-07	2005	0
ATL->ABE->CLT	2008-06-06	850	0	2008-06-08	2010	0
CLE->ABE->CVG	2008-06-07	600	0	2008-06-09	1915	0
CLT->ABE->DTW	2008-06-08	605	0	2008-06-10	2015	0
CVG->ABE->CLE	2008-06-09	1020	0	2008-06-11	2005	0
ATL->ABE->CVG	2008-06-11	600	0	2008-06-13	1256	0
ATL->ABE->CLT	2008-06-12	850	0	2008-06-14	1256	0
CVG->ABE->CLE	2008-06-13	640	0	2008-06-15	2005	0
CLE->ABE->CVG	2008-06-15	600	0	2008-06-17	1615	0
ATL->ABE->CLT	2008-06-16	850	0	2008-06-18	1256	0
CLT->ABE->DTW	2008-06-18	605	0	2008-06-20	2015	0
ATL->ABE->CLT	2008-06-20	850	0	2008-06-22	1256	0
ORD->ABE->CLE	2008-06-21	640	0	2008-06-23	1443	0
DTW->ABE->ATL	2008-06-22	630	0	2008-06-24	2125	0
DTW->ABE->CLT	2008-06-24	850	0	2008-06-26	1406	0
ORD->ABE->CLE	2008-06-25	640	0	2008-06-27	1443	0
ATL->ABE->CLT	2008-06-26	850	0	2008-06-28	2010	0
DTW->ABE->ORD	2008-06-27	721	0	2008-06-29	1406	0
ATL->ABE->CLT	2008-06-28	850	0	2008-06-30	2010	0
CLE->ABE->CVG	2008-06-29	600	0	2008-07-01	1915	0
CLT->ABE->DTW	2008-06-30	605	0	2008-07-02	2015	0
CVG->ABE->CLE	2008-07-03	640	0	2008-07-05	2005	0
ATL->ABE->CLT	2008-07-04	850	0	2008-07-06	1256	0
DTW->ABE->CLT	2008-07-06	850	0	2008-07-08	1406	0
CLE->ABE->ORD	2008-07-07	600	0	2008-07-09	1915	0
DTW->ABE->CVG	2008-07-08	610	0	2008-07-10	1406	0
CLE->ABE->ORD	2008-07-09	726	0	2008-07-11	1615	0
DTW->ABE->ATL	2008-07-10	630	0	2008-07-12	2125	0
DTW->ABE->ORD	2008-07-11	600	0	2008-07-13	2125	0
DTW->ABE->CLT	2008-07-16	850	0	2008-07-18	1406	0
CVG->ABE->ORD	2008-07-17	600	0	2008-07-19	1945	0
DTW->ABE->ATL	2008-07-18	630	0	2008-07-20	1406	0
ORD->ABE->ATL	2008-07-19	630	0	2008-07-21	2109	0
CVG->ABE->CLT	2008-07-20	850	0	2008-07-22	1945	0
ORD->ABE->CLE	2008-07-23	640	0	2008-07-25	1443	0
ATL->ABE->CVG	2008-07-24	610	0	2008-07-26	1318	0
ATL->ABE->CVG	2008-07-26	610	0	2008-07-28	2010	0
CLE->ABE->CLT	2008-07-27	850	0	2008-07-29	1915	0
ATL->ABE->CLT	2008-07-28	850	0	2008-07-30	2010	0
CLE->ABE->ORD	2008-07-29	726	0	2008-07-31	1915	0
CLE->ABE->DTW	2008-07-30	605	0	2008-08-01	1615	0
DTW->ABE->CLE	2008-07-31	640	0	2008-08-02	1406	0
ORD->ABE->CLT	2008-08-01	850	0	2008-08-03	1432	0
CLE->ABE->ORD	2008-08-03	600	0	2008-08-05	1915	0
DTW->ABE->CVG	2008-08-04	610	0	2008-08-06	1406	0
CLE->ABE->ORD	2008-08-05	726	0	2008-08-07	1915	0
DTW->ABE->CLT	2008-08-06	850	0	2008-08-08	2125	0
DTW->ABE->CLT	2008-08-10	850	0	2008-08-12	2125	0
CLE->ABE->ORD	2008-08-11	726	0	2008-08-13	1615	0
ATL->ABE->CVG	2008-08-12	610	0	2008-08-14	1318	0
ORD->ABE->CLE	2008-08-13	640	0	2008-08-15	2109	0
DTW->ABE->CLT	2008-08-14	850	0	2008-08-16	1406	0
DTW->ABE->CLT	2008-08-16	850	0	2008-08-18	2125	0
CVG->ABE->CLT	2008-08-18	850	0	2008-08-20	1945	0
DTW->ABE->ATL	2008-08-20	630	0	2008-08-22	1400	0
ATL->ABE->DTW	2008-08-22	600	0	2008-08-24	1320	0
DTW->ABE->CLT	2008-08-24	850	0	2008-08-26	1400	0
ORD->ABE->CLE	2008-08-25	640	0	2008-08-27	1443	0
DTW->ABE->CVG	2008-08-26	610	0	2008-08-28	2125	0
DTW->ABE->CVG	2008-08-28	610	0	2008-08-30	2125	0
CLE->ABE->CLT	2008-08-30	850	0	2008-09-01	1615	0
ATL->ABE->ORD	2008-08-31	600	0	2008-09-02	2027	0
ORD->ABE->CLT	2008-09-03	850	0	2008-09-05	1755	0
DTW->ABE->ATL	2008-09-04	605	0	2008-09-06	2125	0
ORD->ABE->CLT	2008-09-09	850	0	2008-09-11	2113	0
CLT->ABE->ORD	2008-09-11	939	0	2008-09-13	2000	0
DTW->ABE->ATL	2008-09-14	605	0	2008-09-16	1400	0
DTW->ABE->ATL	2008-09-16	605	0	2008-09-18	2125	0
DTW->ABE->ATL	2008-09-18	605	0	2008-09-20	1400	0
ORD->ABE->CLT	2008-09-21	850	0	2008-09-23	2113	0
CLT->ABE->ORD	2008-09-25	939	0	2008-09-27	2000	0
DTW->ABE->ATL	2008-09-26	605	0	2008-09-28	1400	0
CLT->ABE->ORD	2008-09-27	615	0	2008-09-29	2000	0
DTW->ABE->ATL	2008-09-28	605	0	2008-09-30	2125	0
ORD->ABE->CLT	2008-09-29	850	0	2008-10-01	1806	0
CLE->ABE->ORD	2008-10-01	610	0	2008-10-03	1545	0
DTW->ABE->ATL	2008-10-02	615	0	2008-10-04	1400	0
CLE->ABE->CLT	2008-10-03	850	0	2008-10-05	1200	0
DTW->ABE->ATL	2008-10-04	615	0	2008-10-06	2125	0
ORD->ABE->CLE	2008-10-07	630	0	2008-10-09	1806	0
DTW->ABE->ATL	2008-10-08	615	0	2008-10-10	1400	0
CLE->ABE->ORD	2008-10-11	615	0	2008-10-13	1545	0
CLE->ABE->ORD	2008-10-13	610	0	2008-10-15	1545	0
DTW->ABE->ATL	2008-10-14	615	0	2008-10-16	2125	0
CLE->ABE->CLT	2008-10-15	850	0	2008-10-17	1545	0
DTW->ABE->CLE	2008-10-18	632	0	2008-10-20	1400	0
DTW->ABE->ATL	2008-10-20	615	0	2008-10-22	1400	0
DTW->ABE->ATL	2008-10-22	615	0	2008-10-24	2125	0
ATL->ABE->ORD	2008-10-24	925	0	2008-10-26	2027	0
CLE->ABE->ORD	2008-10-25	615	0	2008-10-27	1545	0
DTW->ABE->ATL	2008-10-26	615	0	2008-10-28	2125	0
CLE->ABE->ORD	2008-10-27	610	0	2008-10-29	1545	0
ATL->ABE->DTW	2008-10-28	600	0	2008-10-30	1440	0
AUS->ABQ->LAX	2008-01-01	1151	0	2008-01-03	1755	0
DFW->ABQ->PHX	2008-01-02	620	0	2008-01-04	1710	0
PHX->ABQ->IAH	2008-01-04	950	0	2008-01-06	1953	0
LAS->ABQ->PHX	2008-01-07	600	0	2008-01-09	1915	0
ATL->ABQ->IAH	2008-01-09	830	0	2008-01-11	1739	0
SEA->ABQ->SAN	2008-01-10	705	0	2008-01-12	1405	0
PHX->ABQ->DFW	2008-01-11	925	0	2008-01-13	1630	0
IAH->ABQ->ATL	2008-01-12	615	0	2008-01-14	1742	0
IAD->ABQ->SLC	2008-01-13	1045	0	2008-01-15	1800	0
IAH->ABQ->ATL	2008-01-15	615	0	2008-01-17	1742	0
DEN->ABQ->SEA	2008-01-16	830	0	2008-01-18	1830	0
PHX->ABQ->DFW	2008-01-17	1045	0	2008-01-19	1307	0
ATL->ABQ->IAH	2008-01-18	750	0	2008-01-20	2140	0
SMF->ABQ->TUS	2008-01-19	1020	0	2008-01-21	1515	0
PHX->ABQ->DFW	2008-01-20	705	0	2008-01-22	1953	0
PHX->ABQ->IAH	2008-01-21	750	0	2008-01-23	1953	0
MCO->ABQ->HOU	2008-01-22	700	0	2008-01-24	1335	0
PHX->ABQ->DFW	2008-01-23	1150	0	2008-01-25	2246	0
IAH->ABQ->PHX	2008-01-24	600	0	2008-01-26	1742	0
SAT->ABQ->PHX	2008-01-25	940	0	2008-01-27	1435	0
PHX->ABQ->DFW	2008-01-26	1150	0	2008-01-28	1630	0
PHX->ABQ->IAH	2008-01-27	750	0	2008-01-29	1953	0
IAD->ABQ->SAT	2008-01-28	850	0	2008-01-30	1800	0
ATL->ABQ->DFW	2008-01-29	600	0	2008-01-31	1755	0
PHX->ABQ->IAH	2008-01-30	830	0	2008-02-01	2040	0
ATL->ABQ->TUL	2008-01-31	1140	0	2008-02-02	1755	0
DEN->ABQ->IAD	2008-02-01	1000	0	2008-02-03	2005	0
TUS->ABQ->MCO	2008-02-04	930	0	2008-02-06	1825	0
IAH->ABQ->ATL	2008-02-06	800	0	2008-02-08	1742	0
DEN->ABQ->SLC	2008-02-07	600	0	2008-02-09	1655	0
DFW->ABQ->ATL	2008-02-09	800	0	2008-02-11	1430	0
SLC->ABQ->AUS	2008-02-10	1105	0	2008-02-12	1355	0
IAH->ABQ->ATL	2008-02-12	800	0	2008-02-14	2135	0
LAX->ABQ->SFO	2008-02-13	645	0	2008-02-15	2015	0
ATL->ABQ->DFW	2008-02-14	705	0	2008-02-16	2142	0
EWR->ABQ->IAH	2008-02-15	750	0	2008-02-17	1955	0
PHX->ABQ->TUS	2008-02-16	1020	0	2008-02-18	2246	0
DEN->ABQ->PHX	2008-02-18	600	0	2008-02-20	1630	0
SLC->ABQ->IAH	2008-02-19	615	0	2008-02-21	1349	0
MSP->ABQ->ATL	2008-02-20	800	0	2008-02-22	2120	0
SLC->ABQ->PHX	2008-02-21	800	0	2008-02-23	1349	0
IAH->ABQ->DEN	2008-02-22	740	0	2008-02-24	1750	0
MDW->ABQ->STL	2008-02-24	1105	0	2008-02-26	1700	0
IAH->ABQ->BWI	2008-02-25	900	0	2008-02-27	1750	0
PHX->ABQ->SAN	2008-02-27	1000	0	2008-02-29	1307	0
LAX->ABQ->IAH	2008-02-28	615	0	2008-03-01	1710	0
PHX->ABQ->SAT	2008-03-01	850	0	2008-03-03	2200	0
DFW->ABQ->SEA	2008-03-02	830	0	2008-03-04	1430	0
DFW->ABQ->ATL	2008-03-03	800	0	2008-03-05	1430	0
IAH->ABQ->LAS	2008-03-04	900	0	2008-03-06	1251	0
MSP->ABQ->DFW	2008-03-05	1150	0	2008-03-07	2120	0
ATL->ABQ->IAH	2008-03-06	1100	0	2008-03-08	2140	0
DFW->ABQ->PHX	2008-03-08	600	0	2008-03-10	1900	0
IAH->ABQ->ATL	2008-03-09	630	0	2008-03-11	2125	0
PHX->ABQ->ONT	2008-03-10	915	0	2008-03-12	1425	0
DFW->ABQ->PHX	2008-03-11	600	0	2008-03-13	1900	0
EWR->ABQ->ATL	2008-03-12	1103	0	2008-03-14	2015	0
LAS->ABQ->DAL	2008-03-13	910	0	2008-03-15	1935	0
DFW->ABQ->MSP	2008-03-14	830	0	2008-03-16	2140	0
MCO->ABQ->LAS	2008-03-16	855	0	2008-03-18	1420	0
ATL->ABQ->PHX	2008-03-18	600	0	2008-03-20	1655	0
PHX->ABQ->ONT	2008-03-19	915	0	2008-03-21	1605	0
EWR->ABQ->IAH	2008-03-21	740	0	2008-03-23	2015	0
DAL->ABQ->TUL	2008-03-22	1140	0	2008-03-24	1750	0
ELP->ABQ->SAT	2008-03-25	850	0	2008-03-27	1845	0
ATL->ABQ->DFW	2008-03-26	705	0	2008-03-28	2140	0
EWR->ABQ->IAH	2008-03-27	740	0	2008-03-29	1950	0
DAL->ABQ->ELP	2008-03-28	635	0	2008-03-30	1955	0
PHX->ABQ->DFW	2008-03-29	1150	0	2008-03-31	1530	0
PHX->ABQ->DFW	2008-03-30	600	0	2008-04-01	1240	0
IAH->ABQ->IAD	2008-03-31	800	0	2008-04-02	1750	0
PHX->ABQ->DEN	2008-04-01	1025	0	2008-04-03	1853	0
ATL->ABQ->IAH	2008-04-03	1100	0	2008-04-05	2140	0
SAN->ABQ->STL	2008-04-04	1120	0	2008-04-06	1430	0
DFW->ABQ->MSP	2008-04-05	830	0	2008-04-07	2145	0
MSP->ABQ->IAH	2008-04-06	615	0	2008-04-08	2120	0
SMF->ABQ->PHX	2008-04-07	600	0	2008-04-09	1500	0
PHX->ABQ->DFW	2008-04-08	935	0	2008-04-10	1853	0
PHX->ABQ->ATL	2008-04-09	800	0	2008-04-11	1853	0
SMF->ABQ->PHX	2008-04-10	940	0	2008-04-12	1500	0
DFW->ABQ->PHX	2008-04-11	600	0	2008-04-13	1850	0
ELP->ABQ->IAD	2008-04-13	811	0	2008-04-15	1845	0
ATL->ABQ->IAH	2008-04-15	615	0	2008-04-17	2140	0
DEN->ABQ->IAH	2008-04-16	830	0	2008-04-18	1729	0
PHX->ABQ->MSP	2008-04-17	830	0	2008-04-19	1853	0
IAH->ABQ->ATL	2008-04-18	800	0	2008-04-20	2125	0
SLC->ABQ->MDW	2008-04-19	700	0	2008-04-21	1615	0
PHX->ABQ->ATL	2008-04-20	1100	0	2008-04-22	2146	0
PHX->ABQ->IAH	2008-04-21	615	0	2008-04-23	1530	0
AUS->ABQ->TUS	2008-04-22	1035	0	2008-04-24	1755	0
DEN->ABQ->PHX	2008-04-23	600	0	2008-04-25	1505	0
DEN->ABQ->TUS	2008-04-25	1035	0	2008-04-27	1945	0
PHX->ABQ->ATL	2008-04-26	630	0	2008-04-28	1530	0
IAH->ABQ->PHX	2008-04-27	845	0	2008-04-29	2125	0
OAK->ABQ->IAH	2008-04-28	830	0	2008-04-30	2020	0
OAK->ABQ->DFW	2008-04-29	1045	0	2008-05-01	2020	0
ATL->ABQ->IAH	2008-04-30	615	0	2008-05-02	1655	0
LAX->ABQ->IAH	2008-05-01	830	0	2008-05-03	1555	0
MSP->ABQ->DFW	2008-05-02	600	0	2008-05-04	2120	0
DEN->ABQ->ATL	2008-05-03	1100	0	2008-05-05	1505	0
IAH->ABQ->PHX	2008-05-04	1040	0	2008-05-06	1250	0
DFW->ABQ->ORD	2008-05-05	820	0	2008-05-07	1430	0
IAH->ABQ->ATL	2008-05-06	630	0	2008-05-08	2115	0
LAS->ABQ->BWI	2008-05-07	900	0	2008-05-09	1745	0
PHX->ABQ->DEN	2008-05-08	755	0	2008-05-10	1853	0
IAH->ABQ->ATL	2008-05-09	1100	0	2008-05-11	2115	0
IAD->ABQ->LAS	2008-05-10	900	0	2008-05-12	1804	0
PHX->ABQ->MSP	2008-05-11	830	0	2008-05-13	2146	0
ATL->ABQ->IAH	2008-05-12	745	0	2008-05-14	1655	0
LAX->ABQ->PHX	2008-05-13	945	0	2008-05-15	1520	0
ORD->ABQ->PHX	2008-05-14	600	0	2008-05-16	1910	0
IAH->ABQ->ATL	2008-05-15	830	0	2008-05-17	2100	0
SMF->ABQ->IAD	2008-05-16	811	0	2008-05-18	1500	0
ORD->ABQ->DFW	2008-05-17	1045	0	2008-05-19	1910	0
IAH->ABQ->ATL	2008-05-18	830	0	2008-05-20	1750	0
LBB->ABQ->MCO	2008-05-19	905	0	2008-05-21	1925	0
IAH->ABQ->DFW	2008-05-21	1045	0	2008-05-23	1750	0
SAN->ABQ->PHX	2008-05-22	630	0	2008-05-24	1215	0
ATL->ABQ->DFW	2008-05-23	705	0	2008-05-25	2030	0
DEN->ABQ->SAT	2008-05-25	950	0	2008-05-27	1530	0
ATL->ABQ->DFW	2008-05-26	705	0	2008-05-28	2030	0
IAH->ABQ->DFW	2008-05-27	705	0	2008-05-29	2115	0
LAX->ABQ->PHX	2008-05-28	630	0	2008-05-30	1520	0
DFW->ABQ->ORD	2008-05-29	820	0	2008-05-31	1430	0
STL->ABQ->IAH	2008-05-30	745	0	2008-06-01	1320	0
ATL->ABQ->TUL	2008-05-31	1140	0	2008-06-02	1655	0
SEA->ABQ->SFO	2008-06-01	600	0	2008-06-03	1520	0
SLC->ABQ->ATL	2008-06-03	830	0	2008-06-05	1450	0
PHX->ABQ->DFW	2008-06-05	1155	0	2008-06-07	2146	0
SAN->ABQ->PHX	2008-06-07	600	0	2008-06-09	1500	0
IAH->ABQ->ATL	2008-06-09	1100	0	2008-06-11	2115	0
ELP->ABQ->SLC	2008-06-10	1050	0	2008-06-12	1325	0
IAH->ABQ->DEN	2008-06-13	740	0	2008-06-15	1757	0
PHX->ABQ->DFW	2008-06-14	600	0	2008-06-16	2146	0
EWR->ABQ->IAH	2008-06-15	725	0	2008-06-17	2045	0
DEN->ABQ->HOU	2008-06-16	640	0	2008-06-18	2135	0
PHX->ABQ->MSP	2008-06-17	825	0	2008-06-19	1530	0
DEN->ABQ->ATL	2008-06-18	820	0	2008-06-20	1505	0
STL->ABQ->SFO	2008-06-19	600	0	2008-06-21	1305	0
ATL->ABQ->DFW	2008-06-20	705	0	2008-06-22	1700	0
DFW->ABQ->IAH	2008-06-21	740	0	2008-06-23	1710	0
ELP->ABQ->IAH	2008-06-22	1030	0	2008-06-24	1325	0
PHX->ABQ->ATL	2008-06-23	820	0	2008-06-25	2146	0
DFW->ABQ->IAH	2008-06-24	745	0	2008-06-26	1430	0
IAH->ABQ->SAT	2008-06-25	905	0	2008-06-27	1250	0
DFW->ABQ->ATL	2008-06-26	820	0	2008-06-28	1315	0
DEN->ABQ->DFW	2008-06-27	705	0	2008-06-29	1505	0
DAL->ABQ->DEN	2008-06-29	755	0	2008-07-01	1200	0
EWR->ABQ->IAH	2008-06-30	745	0	2008-07-02	2045	0
TUS->ABQ->AUS	2008-07-01	1015	0	2008-07-03	1740	0
MSP->ABQ->PHX	2008-07-02	945	0	2008-07-04	2120	0
DFW->ABQ->IAH	2008-07-03	615	0	2008-07-05	1555	0
PHX->ABQ->MSP	2008-07-05	825	0	2008-07-07	2146	0
TUS->ABQ->SEA	2008-07-07	1000	0	2008-07-09	1740	0
IAH->ABQ->ATL	2008-07-09	820	0	2008-07-11	1755	0
DEN->ABQ->DFW	2008-07-11	1155	0	2008-07-13	1750	0
IAH->ABQ->DFW	2008-07-12	705	0	2008-07-14	2115	0
DEN->ABQ->MCO	2008-07-13	905	0	2008-07-15	2145	0
EWR->ABQ->DFW	2008-07-15	600	0	2008-07-17	2045	0
SAN->ABQ->SFO	2008-07-16	600	0	2008-07-18	1500	0
SLC->ABQ->IAH	2008-07-19	1030	0	2008-07-21	1936	0
