"TTN"	3358
"WYS"	3249
"RFD"	3142
"EWN"	2549
"ALO"	2318
"ROW"	2049
"SLE"	1764
"ILG"	1564
"PLN"	1551
"GCC"	1492
"HKY"	1344
"TEX"	1310
"YAP"	1299
"RKS"	1194
"ADK"	1148
"CMX"	1059
"ANI"	895
"KSM"	882
"MKG"	788
"RHI"	782
"SOP"	636
"INL"	580
"LNY"	579
"MKK"	577
"OTH"	543
"LMT"	542
"BJI"	404
"MTH"	255
"MAZ"	239
"MIB"	178
"RDR"	92
"OGD"	25
"CKB"	14
"CYS"	14
"PVU"	13
"FMN"	8
"PIR"	8
"GLH"	4
"BFF"	3
"MKC"	3
"BFI"	2
"LAR"	2
"CBM"	1
"LBF"	1
"RCA"	1
"SKA"	1
